smiles,expt,calc
CCCC1CCCC1,2.13,2.102
c1c(cc(cc1Cl)Cl)Cl,-0.78,0.326
CCCOC(=O)c1ccc(cc1)O,-9.37,-8.945
c1cc(cc(c1)Cl)O,-6.62,-5.018
CC(C)CCO,-4.42,-3.237
CCCCCN,-4.09,-2.835
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14,-13.769
CC(C)CCC(C)(C)C,2.93,2.97
CCCCOCCO,-6.25,-3.85
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82,-5.179
c1ccc(cc1)C(=O)N,-11,-10.412
CC(C)[N+](=O)[O-],-3.13,-1.741
C(C(CO)O)O,-13.43,-10.14
CCCI,-0.53,-0.443
COCCN,-6.55,-5.027
C(C(Cl)(Cl)Cl)Cl,-1.43,-0.091
CCC(=O)OC,-2.93,-3.652
C1CCCC1,1.2,1.648
CCc1cccnc1,-4.59,-2.965
Cc1cc(cnc1)C,-4.84,-2.869
COCCO,-6.62,-4.686
COC=O,-2.78,-4.028
c1ccc2cc(ccc2c1)N,-7.47,-8.003
Cc1c[nH]cn1,-10.27,-8.205
Cc1cccc(c1)[N+](=O)[O-],-3.45,-3.278
C(CCCl)CCl,-2.32,-0.404
CC(=O)CO[N+](=O)[O-],-5.99,-5.362
CC(C)(C)c1ccccc1,-0.44,-0.803
CCCCCC(=O)OC,-2.49,-3.299
C[C@@H](C(F)(F)F)O,-4.16,-3.518
CCCCCBr,-0.1,0.824
CCCCCCC=C,1.92,2.895
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51,-3.825
CC(C)O,-4.74,-3.427
CCCCCCN,-3.95,-2.772
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8,-5.322
Cc1ccc(c(c1)C)O,-6.01,-4.98
CCCCCO,-4.57,-3.054
CCC[C@@H](C)O,-4.39,-2.945
CCCC[C@@H](C)CC,2.97,3.03
C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7,-10.857
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15,-11.194
Cc1ccc(cc1C)O,-6.5,-5.471
Cc1cc(ccc1Cl)O,-6.79,-5.14
CCCC/C=C/C,1.68,2.78
CCCOCCC,-1.16,-0.004
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2,-3.35
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68,-9.271
CC(C)CC(C)(C)C,2.89,2.542
CCCCC(=O)CCCC,-2.64,-2.364
CCCCN(CC)C(=O)SCCC,-3.64,-4.573
CCCCCC=C,1.66,2.761
CC(C)OC=O,-2.02,-3.591
CC(OC(=O)C)OC(=O)C,-4.97,-8.006
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74,-16.612
CC(=C)c1ccccc1,-1.24,-0.651
CCC(C)C,2.38,2.59
CCCCO[N+](=O)[O-],-2.09,-1.938
c1ccc(cc1)Br,-1.46,-0.947
CC(Cl)(Cl)Cl,-0.19,0.505
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09,-3.591
Cc1ccccc1[N+](=O)[O-],-3.58,-3.133
CCCCCCCI,0.27,0.228
c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52,-6.79
CCCCCCl,-0.1,1.084
CC(C)COC(=O)C,-2.36,-2.896
CCC(C)(C)C,2.51,2.495
c1cc(ccc1N)N(=O)=O,-9.82,-9.416
COC(=O)CC#N,-6.72,-6.36
COc1ccc(cc1)N,-7.48,-7.016
CC(C)Cc1ccccc1,0.16,-0.257
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16,-1.151
CN,-4.55,-3.583
c1ccc(c(c1)O)Cl,-4.55,-3.317
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53,-13.895
C(=C\Cl)\Cl,-1.17,1.156
CCCCC(=O)C,-3.28,-3.006
C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73,-6.227
c1ccc(c(c1)O)F,-5.29,-3.346
Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41,-13.87
C=Cc1ccccc1,-1.24,-1.078
CCOP(=O)(OCC)OCC,-7.5,-10.251
C(C(F)(F)F)O,-4.31,-3.809
CCCCOC[C@H](C)O,-5.73,-3.891
CCCO,-4.85,-3.33
Cc1ccccc1C,-0.9,-0.851
CC(C)(C)C,2.51,2.506
CCCC#C,0.01,0.47
c1ccc2c(c1)C(=O)NC2=O,-9.61,-11.825
CCCCI,-0.25,-0.223
Cc1ccc(cc1)O,-6.13,-5.579
CC(C)I,-0.46,-0.492
COc1ccccc1O,-5.94,-4.746
C1CC=CC1,0.56,1.23
C[C@H](C(F)(F)F)O,-4.2,-3.486
CCCN,-4.39,-3.053
c1ccc(c(c1)[N+](=O)[O-])O,-4.58,-5.667
Cc1cccc2c1cccc2,-2.44,-3.212
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33,0.379
CCCCC/C=C/C=O,-3.43,-2.706
CCCCCCC#C,0.71,0.832
CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48,-10.753
CCCCCCCC(=O)OC,-2.04,-3.035
C1CCNC1,-5.48,-4.278
c1cc(ccc1C=O)O,-8.83,-10.05
CCCCCCCCl,0.29,1.467
C1COCCO1,-5.06,-4.269
