smiles,isotropic_polarizability
C1OC2COC1CCC2,76.64
C1OC2COC1CCO2,69.62
C1OC2COC1COC2,70.05
C1OC2COCC1CO2,69.7
C1CC2CC3C1C3CO2,79.85
C1CC2CCC3C1C3C2,86.58
C1CC2CCC3C1C3O2,79.25
C1CC2CN3C1C3CO2,76.51
C1CC2COC3C1C3C2,79.9
C1CC2COC3C1C3O2,72.62
C1CC2OCC3C1C3O2,72.26
C1OC2CCN3C1C3C2,76.53
C1NC2C3NCC1OC23,73.06
C1NC2C3OCC1OC23,69.55
C1OC2C3CC1COC23,73.26
C1OC2C3NC1COC23,69.72
C1OC2C3OCC1OC23,66.07
C1OC2CC3C1C3CO2,73.14
C1OC2CN3C1C3CO2,69.82
C1OC2CNC3C1C3O2,69.13
C1OC2COC3C1C3C2,73.18
C1OC2COC3C1C3O2,65.62
C1CC2CCC=CC2=C1,94.6
C1CC2OCC=CC2=C1,87.5
C1OC2CCC=CC2=C1,87.18
C1OC2OCC=CC2=C1,79.94
C1CC2C=CCCC2O1,83.55
C1CC2C=CCOC2O1,76.54
C1CC2CCC=CC2C1,90.57
C1CC2CCC=CC2O1,83.42
C1CC2COC=NC2C1,78.66
C1CC2N=COCC2O1,71.69
C1CC2OCC=CC2C1,83.61
C1CC2OCC=CC2O1,76.49
C1OC2CCC=CC2O1,76.19
C1OCC2C=CCCC12,83.25
C1OCC2C=CCOC12,76.4
C1OCC2N=COCC12,71.62
C1CC2CC(C1)OCO2,76.19
C1CC2CC(CCO2)O1,76.47
C1CC2CCCC(C1)C2,90.27
C1CC2CCCC(C1)O2,83.29
C1CC2CCOC(C1)C2,83.35
C1CC2CCOC(C1)O2,76.1
C1CC2CCOC(C2)O1,76.21
C1CC2COCC(C1)C2,83.66
C1CC2COCC(C1)O2,76.74
C1CC2COCC(C2)O1,76.76
C1CC2COCC(O1)O2,69.55
C1CN2CCOC(C2)O1,73.23
C1OC2COCC(C2)O1,69.65
C1OCC2COCC1C2,77.16
C1OCC2COCC1N2,73.83
C1OCC2COCC1O2,70.26
C1CC2CCCC1C=C2,88.07
C1CC2COCC1C=C2,81.22
C1CC2OCCC1C=C2,81.33
C1CC2OCOC1C=C2,74.14
C1OC2CCCC1C=C2,81.6
C1OC2CCOC1C=C2,74.72
C1OC2COCC1C=C2,74.66
C1OC2OCCC1C=C2,74.36
C1CC2CCCC3C1C23,86.64
C1CC2CCOC3C1C23,79.48
C1CC2COCC3C1C23,80.13
C1CC2COCC3C1N23,76.66
C1CC2OCCC3C1C23,79.58
C1CC2OCCN3C1C23,76.49
C1CC2OCOC3C1C23,72.22
C1CN2C3CCOC1C23,76.1
C1CN2C3COCC1C23,76.68
C1OC2C3CCCC1C23,79.94
C1OC2C3CCOC1C23,72.89
C1OC2C3COCC1C23,73.37
C1OC2C3OCCC1C23,72.82
C1OC2C3OCOC1C23,65.59
C1OC2CCCC3C1C23,80.02
C1OC2CCCN3C1C23,76.96
C1OC2CCOC3C1C23,73.02
C1OC2COCC3C1C23,73.31
C1OC2OCCC3C1C23,72.62
C1OC2OCCN3C1C23,69.51
C1CC2=CCCCC2O1,84.66
C1CC2=CCCOC2O1,77.47
C1CC2=CCOCC2O1,77.6
C1CC2CCCC=C2C1,91.77
C1CC2CCCN=C2O1,80.39
C1CC2COCC=C2C1,84.75
C1CC2NCCN=C2O1,77.26
C1CC2OCCC=C2C1,84.84
C1CC2OCCN=C2N1,78.08
C1CC2OCCN=C2O1,73.5
C1CN2CCCN=C2O1,77.42
C1OC2CCCN=C2O1,72.42
C1OCC2=CCCCC12,84.37
C1OCC2=CCCOC12,77.51
C1OCC2=CCOCC12,77.42
C1CC2CCCCC2=C1,91.24
C1CC2CCCOC2=N1,79.67
C1CC2CCOCC2=C1,84.23
C1CC2COCCC2=C1,84.28
C1CC2COCOC2=N1,72.42
C1CC2NCCOC2=N1,76.09
C1CC2OCCCC2=C1,84.25
C1CC2OCCNC2=N1,77.25
C1CC2OCCOC2=N1,73
C1CC2OCOCC2=C1,77
C1CN2CCCOC2=N1,77.56
C1CN2CCOCC2=N1,77.3
C1OC2CCCCC2=C1,84.29
C1OC2CCOCC2=C1,77.28
C1OC2COCCC2=C1,77.48
C1OC2OCCCC2=C1,77.1
C1CC2CCCCC2C1,91.93
C1CC2CCCCC2O1,85.06
C1CC2CCCOC2C1,85.04
C1CC2CCCOC2O1,78.1
C1CC2CCOCC2C1,85
C1CC2CCOCC2O1,78.15
C1CC2COCCC2O1,78.18
C1CC2COCOC2C1,77.61
C1CC2OCCCC2O1,78.15
C1CC2OCCOC2C1,78.13
C1CC2OCCOC2O1,71.15
C1CC2OCOCC2O1,70.78
C1OC2CCCCC2O1,77.94
C1OC2CCOCC2O1,71.09
C1OCC2CCCCC12,84.72
C1OCC2COCCC12,77.9
C1OCC2OCCCC12,77.91
C1OCC2OCCOC12,71.09
C1OCC2OCOCC12,70.64
C1CC2CCCCCC12,91.8
C1CC2CCOCCC12,85.05
C1CC2COCCCC12,84.99
C1CC2COCOCC12,77.62
C1CC2OCCCCC12,85.38
C1CC2OCCCOC12,79.06
C1CC2OCCOCC12,78.52
C1CC2OCOCCC12,78.04
C1OC2CCCCCC12,84.48
C1OC2CCCCOC12,78.03
C1OC2CCCOCC12,77.76
C1OC2CCOCCC12,77.76
C1OC2CCOCOC12,70.83
C1OC2COCCCC12,77.55
C1OC2COCCOC12,71.09
C1OC2COCOCC12,70.34
C1CC=CC#CC=CC1,91.14
C1C=CC#CC=CCO1,83.34
C1CC=CC#CCC=C1,89.69
C1OC=NCC#CC=C1,79.89
C1CC=CC=CC#CC1,93.38
C1OCC#CC=CC=C1,85.89
C1CC=CC=CC=CC1,96.13
C1C=CC=CC=CCO1,88.1
C1CC=CC=CCC=C1,92.12
C1C=CC=CCOC=N1,80.5
C1CN=COCCC#C1,79.74
C1CC#CCOCC=C1,83.71
C1CC=CCCC#CC1,90.91
C1CN=COCC#CC1,79.29
C1CC=CCCC=CC1,93.06
C1CN=COCCC=C1,81.95
C1CC=CCOC=NC1,81.66
C1CC=CCOCC=C1,85.45
C1CN=COCOC=N1,70.54
C1COCC=CCC#C1,82.82
C1COCC#CCC=C1,83.06
C1CCC#CCC=CC1,89.97
C1CC#CCN=COC1,79.42
C1OCC#CCN=CO1,72.2
C1CC2(CO1)CC=CC2,82.06
C1CC2(CO1)CN=CO2,70.93
C1CCC2(C1)CC=CC2,88.87
C1CCC2(C1)CN=CO2,77.91
C1COC2(C1)CC=CC2,82.59
C1COC2(C1)CN=CO2,71.06
C1COC2(O1)CC=CC2,76.05
C1OCC2(CC=CC2)O1,75.39
C1CC2(CCC=C2)CO1,83.54
C1CC2(CO1)COC=N2,71.42
C1CC2(CO1)OCC=C2,77.12
C1OCC2(CCC=C2)O1,76.83
C1CCC2(C1)CCC=C2,90.16
C1CCC2(C1)COC=N2,78.26
C1CCC2(C1)C=CCO2,84.15
C1COC2(C1)CCC=C2,84.23
C1COC2(C1)OCC=C2,77.05
C1CC2(C=C1)OCCO2,77.39
C1COCC12CCOC2,77.07
C1CC2(CO1)COCO2,70.32
C1COCC12OCCO2,70.75
C1CCC2(C1)CCCC2,90.62
C1CCC2(C1)CCCO2,84.66
C1CCC2(C1)CCOC2,83.69
C1CCC2(C1)COCO2,77.5
C1CCC2(C1)OCCO2,78
C1CC2(CCCO2)OC1,77.32
C1COC2(C1)CCOC2,77.65
C1CC=CC#CCCO1,86.04
C1CCC=CC#CCC1,91.98
C1COCC#CC=CC1,85.24
C1CC#CC=CCOC1,84.63
C1OCC=CC#CCO1,77.7
C1COCCC=CC=C1,87.18
C1CCC=CC=CCC1,93.39
C1CC=CC=CCOC1,86.19
C1C=CC=CCOCO1,79.16
C1COCC=CCC=C1,84.84
C1CCC=CCC=CC1,92.28
C1CC=CCN=COC1,81.26
C1C=CCOCOC=N1,74.22
C1COCOCCC#C1,78.67
C1CCOCCC#CC1,85.28
C1CCCC#CCCC1,91.54
C1CCC#CCOCC1,84.82
C1COCCOCC#C1,78.59
C1COCC#CCOC1,78.08
C1CC#CCCCOC1,84.61
C1CC#CCOCOC1,78.13
C1COCOCCC=C1,81
C1CCOCCC=CC1,87.55
C1CCCC=CCCC1,93.99
C1CCCOC=NCC1,82.92
C1CCOCOC=NC1,76.05
C1CCC=CCOCC1,87.3
C1COCCOCC=C1,80.83
C1COCC=CCOC1,80.19
C1CC=CCCCOC1,87.09
C1COCCN=COC1,76.88
C1CN=COCCOC1,76.16
C1CC=CCOCOC1,80.15
C1CCCCCCCC1,94.66
C1CCCCOCCC1,88.41
C1CCCOCOCC1,81.07
C1CCOCCCOC1,81.32
C1CCOCCOCC1,80.49
C1COCCOCCO1,76.1
C1COCCOCOC1,75.58
C#CC(=O)C#CC1CC1,89.23
O=C(C#C)C#CC1CN1,86
O=C(C#C)C#CC1CO1,80.61
C1CC1C#CC(=O)C#N,84.61
O=C(C#N)C#CC1CN1,81.69
O=C(C#N)C#CC1CO1,75.68
C#CCC#CC(=O)C#C,82.49
C#CC(=O)C#CCC#N,77.36
C#CCC#CC(=O)C#N,77.41
C(C#CC(=O)C#N)C#N,72.16
N=C(C(=O)C#C)N1CC1,76.34
N=C(C(=O)C#N)N1CC1,71.01
C#CC(=O)C(=O)C1CC1,75.1
O=C(C#C)C(=O)C1CN1,71.95
O=C(C#C)C(=O)C1CO1,67.35
C#CC(=O)C(=O)N1CC1,72.17
C1CC1C(=O)C(=O)C#N,69.69
O=C(C#N)C(=O)C1CN1,66.77
O=C(C#N)C(=O)C1CO1,61.98
C1CN1C(=O)C(=O)C#N,66.76
C#CC(C#C)C(=O)C#C,77.06
O=C(C#C)C(C#C)C#N,71.35
C#CC(=O)C(C#N)C#N,67.11
C#CC(C#C)C(=O)C#N,71.75
O=C(C#N)C(C#C)C#N,66.84
C#CC(=O)C1(CC1)C#C,79.67
C#CC(=O)C1(CC1)C#N,74.58
O=C(C#C)C1(CN1)C#C,76.35
O=C(C#C)C1(CN1)C#N,71.32
O=C(C#C)C1(CO1)C#C,72.47
O=C(C#C)C1(CO1)C#N,66.94
C#CC1(CC1)C(=O)C#N,74.53
C1CC1(C#N)C(=O)C#N,69.38
O=C(C#N)C1(CN1)C#C,71.38
O=C(C#N)C1(CN1)C#N,66.29
O=C(C#N)C1(CO1)C#C,67.21
O=C(C#N)C1(CO1)C#N,61.85
O=C(C#C)C12CC(C1)C2,80.21
O=C(C#C)C12CC(C1)N2,76.91
O=C(C#C)C12CC(C1)O2,73.44
O=C(C#C)C12CN(C1)C2,76.04
O=C(C#N)C12CC(C1)C2,75.07
O=C(C#N)C12CC(C1)N2,71.66
O=C(C#N)C12CC(C1)O2,68.04
O=C(C#N)C12CN(C1)C2,70.97
O=C(C#C)C12CC1CC2,81.78
O=C(C#C)C12CC1CO2,74.84
O=C(C#C)C12CC1OC2,74.5
O=C(C#C)C12CCC1N2,77.49
O=C(C#C)C12CCC1O2,74.16
O=C(C#C)C12CN1CC2,77.21
O=C(C#N)C12CC1CC2,76.59
O=C(C#N)C12CC1CN2,73.12
O=C(C#N)C12CC1CO2,69.71
O=C(C#N)C12CC1OC2,69.56
O=C(C#N)C12CCC1N2,72.49
O=C(C#N)C12CCC1O2,69.19
O=C(C#N)C12CN1CC2,72.15
C#CC(=O)C1=CCCC1,84.57
C#CC(=O)C1=CCOC1,77.52
C#CC(=O)C1=CNCC1,85.18
O=C(C#C)C1=NCCN1,76.52
C#CC(=O)C1=NCCO1,71.85
C1CC=C(C1)C(=O)C#N,79.23
C1C=C(CO1)C(=O)C#N,72.28
C1CNC=C1C(=O)C#N,79.85
O=C(C#N)C1=NCCN1,71.59
C1COC(=N1)C(=O)C#N,66.59
N=C(C#N)N1C2CC1C2,76.62
O=C(C#C)C1C2CC1C2,80.45
O=C(C#C)C1C2CC1O2,73.02
O=C(C#C)C1C2CN1C2,76.72
O=C(C#C)N1C2CC1C2,77.84
O=C(C#N)C1C2CC1C2,75.08
O=C(C#N)C1C2CC1O2,67.82
O=C(C#N)C1C2CN1C2,71.29
O=C(C#N)N1C2CC1C2,72.68
N=C(C#N)N1C2CCC12,77.68
O=C(C#C)C1C2CCC12,81.76
O=C(C#C)C1C2CCN12,79.32
O=C(C#C)C1C2COC12,75.04
O=C(C#C)N1C2CCC12,79.01
O=C(C#N)C1C2CCC12,76.13
O=C(C#N)C1C2CCN12,73.84
O=C(C#N)C1C2COC12,69.83
O=C(C#N)N1C2CCC12,73.87
N=C(C#C)N1CC(=O)C1,76.08
N=C(C#N)N1CC(=O)C1,70.88
N=C1CC(O1)C(=O)C#C,71.27
N=C1CC(O1)C(=O)C#N,66.02
C#CC(=O)C1CC(=O)C1,74.28
O=C(C#C)C1CC(=O)N1,70.25
O=C(C#C)C1CC(=O)O1,65.03
C#CC(=O)N1CC(=O)C1,71.64
C1C(CC1=O)C(=O)C#N,68.95
O=C(C#N)C1CC(=O)N1,65.34
O=C(C#N)C1CC(=O)O1,60.44
C1C(=O)CN1C(=O)C#N,66.59
N=C(C#C)N1CC1C#C,80.81
N=C(C#C)N1CC1C#N,75.68
N=C(C#N)N1CC1C#C,74.99
N=C(C#N)N1CC1C#N,70.09
O=C(C#C)C1CC1C#C,81.15
O=C(C#C)C1CC1C#N,75.41
O=C(C#C)C1NC1C#C,77.51
O=C(C#C)C1NC1C#N,71.96
O=C(C#C)C1OC1C#C,73.17
O=C(C#C)C1OC1C#N,67.84
O=C(C#C)N1CC1C#C,76.92
O=C(C#C)N1CC1C#N,71.66
O=C(C#N)C1CC1C#C,75.82
O=C(C#N)C1CC1C#N,69.86
O=C(C#N)C1NC1C#C,72.21
O=C(C#N)C1NC1C#N,66.4
O=C(C#N)C1OC1C#C,67.96
O=C(C#N)C1OC1C#N,62.4
O=C(C#N)N1CC1C#C,71.66
O=C(C#N)N1CC1C#N,66.41
N=C(C#N)N1CC2CC12,76.27
O=C(C#C)C1CC2CC12,79.22
O=C(C#C)C1CC2CN12,75.82
O=C(C#C)C1CC2NC12,75.29
O=C(C#C)C1CC2OC12,71.28
O=C(C#C)C1CN2CC12,75.66
O=C(C#C)C1OC2CC12,72.29
O=C(C#C)N1CC2CC12,77.98
O=C(C#N)C1CC2CC12,73.88
O=C(C#N)C1CC2CN12,70.42
O=C(C#N)C1CC2NC12,69.93
O=C(C#N)C1CC2OC12,66.34
O=C(C#N)C1CN2CC12,70.62
O=C(C#N)C1NC2CC12,70.48
O=C(C#N)C1OC2CC12,67.11
O=C(C#N)N1CC2CC12,73.02
N=C(C#N)N1CC=CC1,77.42
O=C(C#C)C1CC=CC1,80.3
O=C(C#C)C1CN=CO1,68.96
C#CC(=O)N1CC=CC1,78.21
O=C(C#N)C1CC=CC1,74.63
O=C(C#N)C1CN=CO1,63.93
C1C=CCN1C(=O)C#N,72.88
N=C(C#C)N1CCC1=O,76.82
N=C(C#N)N1CCC1=N,75.97
N=C(C#N)N1CCC1=O,70.77
N=C1CCN1C(=O)C#C,76.37
N=C1CCN1C(=O)C#N,71.18
N=C1OCC1C(=O)C#C,70.23
N=C1OCC1C(=O)C#N,65.16
O=C(C#C)C1CNC1=O,70.81
O=C(C#C)C1COC1=O,65.92
C#CC(=O)N1CCC1=O,71.93
C1CN(C1=O)C(=O)C#N,66.84
N=C(C#C)N1CCN=C1,81.38
N=C(C#N)N1CCC=C1,82.06
N=C(C#N)N1CCN=C1,76.21
O=C(C#C)C1CCC=C1,81.09
O=C(C#C)C1COC=N1,69.26
O=C(C#C)C1OCC=C1,74.47
C#CC(=O)N1CCC=C1,82.95
C#CC(=O)N1CCN=C1,77.13
O=C(C#N)C1CCC=C1,75.61
O=C(C#N)C1COC=N1,63.84
O=C(C#N)C1NCC=C1,71.86
O=C(C#N)C1OCC=C1,69.01
C1CN(C=C1)C(=O)C#N,77.44
C1CN(C=N1)C(=O)C#N,71.77
N=C(C#N)N1CCCC1,79.88
C#CC(=O)C1CCCC1,82.4
O=C(C#C)C1CCCO1,75.29
O=C(C#C)C1CCOC1,75.29
O=C(C#C)C1COCO1,68
C#CC(=O)C1OCCO1,68.74
C#CC(=O)N1CCCC1,80.62
C1CCC(C1)C(=O)C#N,77.06
O=C(C#N)C1CCCN1,73.91
O=C(C#N)C1CCCO1,69.82
O=C(C#N)C1CCOC1,70.12
O=C(C#N)C1COCO1,62.92
C1COC(O1)C(=O)C#N,62.67
C1CCN(C1)C(=O)C#N,75.25
C#CC#CC(=O)C1CC1,94.44
O=C(C#CC#C)C1CN1,91.4
O=C(C#CC#C)C1CO1,83.56
C#CC#CC(=O)N1CC1,89.35
C1CC1C(=O)C#CC#N,85.62
O=C(C#CC#N)C1CN1,82.69
O=C(C#CC#N)C1CO1,75.18
C1CN1C(=O)C#CC#N,81.14
C1CC(C1)C(=O)C2CC2,84.66
O=C(C1CC1)C1CCO1,76.98
C1CC1C(=O)C2COC2,76.78
C1CN(C1)C(=O)C2CC2,82.79
C1CC(C1)C(=O)N2CC2,81.66
O=C(C1CCO1)N1CC1,73.47
O=C(C1CN1)C1CCC1,81.44
O=C(C1CN1)C1CCO1,73.72
O=C(C1CN1)C1COC1,73.65
O=C(C1CN1)N1CCC1,79.1
O=C(C1CO1)C1CCC1,76.53
O=C(C1CO1)C1CCO1,69.06
O=C(C1CO1)C1COC1,68.93
O=C(C1CO1)N1CCC1,75.3
C1CN1C(=O)C2COC2,73.92
C1CN(C1)C(=O)N2CC2,78.23
C#CCC(=O)C#CC#C,91.56
C#CCC(=O)C#CC#N,82.85
C#CC#CC(=O)CC#N,85.87
C(C#N)C(=O)C#CC#N,77.01
C#CCC(=O)C(=O)C#C,72.68
C#CCC(=O)C(=O)C#N,67.21
C#CC(=O)C(=O)CC#N,67.6
C#CCC(=O)C1CCC1,81.36
O=C(CC#C)C1CCO1,74.21
C#CCC(=O)C1COC1,73.59
C#CCC(=O)N1CCC1,79.1
C1CC(C1)C(=O)CC#N,76.68
O=C(CC#N)C1CCO1,69.22
C1C(CO1)C(=O)CC#N,69.83
C1CN(C1)C(=O)CC#N,74.34
C#CCC(=O)CC1CC1,81.1
O=C(CC#C)CC1CN1,77.68
O=C(CC#C)CC1CO1,74.49
C#CCC(=O)CN1CC1,78.78
C#CCC(=O)NC1CC1,78.93
C#CCC(=O)OC1CC1,75
C1CC1CC(=O)CC#N,76.14
O=C(CC#N)CC1CN1,73.86
O=C(CC#N)CC1CO1,70.42
C1CN1CC(=O)CC#N,73.14
C1CC1NC(=O)CC#N,74.16
C1CC1OC(=O)CC#N,70.29
C#CC#CCC(=O)C#C,89.31
C#CC#CCC(=O)C#N,83.38
C#CC(=O)CC#CC#N,81.47
C(C#CC#N)C(=O)C#N,75.42
C#CC(=N)NC(=N)C#C,82.47
C#CC(=N)NC(=N)C#N,77.37
C(#N)C(=N)NC(=N)C#N,71.67
C#CC(=N)NC(=O)C#C,77.35
N=C(OC(=O)C#C)C#C,71.3
N=C(OC(=O)C#C)C#N,66.62
N=C(OC(=O)C#N)C#N,61.09
C#CC(=O)NC(=O)C#C,72.32
C1CC1CC(=O)C2CC2,84.34
O=C(CC1CC1)C1CN1,80.33
O=C(CC1CC1)C1CO1,76.29
C1CC1CC(=O)N2CC2,80.47
O=C(CC1CN1)C1CC1,80.66
O=C(CC1CN1)C1CN1,77
O=C(CC1CN1)C1CO1,72.99
O=C(CC1NC1)N1CC1,77
O=C(CC1CO1)C1CC1,77.49
O=C(CC1CO1)C1CN1,73.26
O=C(CC1CO1)C1CO1,69.12
O=C(CC1OC1)N1CC1,73.4
C1CC1C(=O)CN2CC2,81.35
O=C(CN1CC1)C1NC1,77.2
O=C(CN1CC1)C1OC1,73.65
C1CN1CC(=O)N2CC2,77.77
C1CC1C(=O)NC2CC2,81.76
O=C(NC1CC1)C1CN1,78.08
O=C(NC1CC1)C1CO1,73.12
C1CC1NC(=O)N2CC2,77.86
C1CC1C(=O)OC2CC2,78.4
O=C(OC1CC1)C1CN1,74.97
O=C(OC1CC1)C1CO1,70.23
C1CC1OC(=O)N2CC2,74.62
C1CC(C1)NC(=N)C#N,81.67
C1C(CO1)NC(=N)C#N,73.75
C#CC(=O)CC1CCC1,82.58
C1CC(C1)CC(=O)C#N,77.57
O=C(CC1CCO1)C#C,76.21
O=C(CC1CCO1)C#N,70.63
C#CC(=O)CC1COC1,75.57
C1C(CO1)CC(=O)C#N,70.16
C#CC(=O)CN1CCC1,79.64
C1CN(C1)CC(=O)C#N,74.9
C#CC(=O)NC1CCC1,82.64
O=C([N-]C1C[NH2+]C1)C#N,74.76
C#CC(=O)NC1COC1,74.62
C#CC(=O)OC1CCC1,77.24
C1CC(C1)OC(=O)C#N,71.85
C#CC(=O)OC1COC1,69.38
C1C(CO1)OC(=O)C#N,64.11
N=C(NCC#N)C1CO1,72.19
C#CCCC(=O)C1CC1,83.64
O=C(CCC#C)C1CN1,80.02
O=C(CCC#C)C1CO1,75.11
C#CCCC(=O)N1CC1,79.95
C1CC1C(=O)CCC#N,78.63
O=C(CCC#N)C1CN1,75.07
O=C(CCC#N)C1CO1,70.21
C1CN1C(=O)CCC#N,75.01
C#CCNC(=O)C1CC1,81.18
O=C(NCC#C)C1CN1,77.4
O=C(NCC#C)C1CO1,71.98
C#CCNC(=O)N1CC1,77
C1CC1C(=O)NCC#N,76.02
O=C(NCC#N)C1CN1,72.25
O=C(NCC#N)C1CO1,67.06
C1CN1C(=O)NCC#N,71.96
C#CCOC(=O)C1CC1,76.1
O=C(OCC#C)C1CN1,72.24
O=C(OCC#C)C1CO1,67.83
C#CCOC(=O)N1CC1,71.86
C1CC1C(=O)OCC#N,71.25
O=C(OCC#N)C1CN1,67.55
O=C(OCC#N)C1CO1,63.18
C1CN1C(=O)OCC#N,67.28
C#CCC(=O)NCC#C,77.71
C#CCC(=O)NCC#N,72.78
C#CCC(=O)OCC#C,74.75
C#CCC(=O)OCC#N,69.64
C#CCOC(=O)CC#N,69.78
C(C#N)C(=O)OCC#N,64.68
C#CCCC(=O)CC#C,81.44
C#CCCC(=O)CC#N,76.34
C#CCC(=O)CCC#N,76.29
C(CC(=O)CC#N)C#N,71.21
C1CC1CNC(=N)C#N,81.08
N=C(NCC1CN1)C#N,77.48
N=C(NCC1CO1)C#N,74.21
C#CC(=O)CCC1CC1,83.53
C1CC1CCC(=O)C#N,78.17
O=C(CCC1CO1)C#C,76.53
O=C(CCC1CO1)C#N,71.14
C#CC(=O)CCN1CC1,80.54
C1CN1CCC(=O)C#N,75.23
C1CC1NCC(=O)C#N,75.02
C#CC(=O)COC1CC1,76.74
C1CC1OCC(=O)C#N,71.31
C#CC(=O)NCC1CC1,81.95
O=C(NCC1CN1)C#C,78.45
O=C([N-]CC1C[NH2+]1)C#N,72.12
O=C(NCC1CO1)C#C,74.85
C#CC(=O)OCC1CC1,77.29
C1CC1COC(=O)C#N,72.06
O=C(OCC1CN1)C#C,73.96
O=C(OCC1CN1)C#N,68.77
O=C(OCC1CO1)C#C,70.38
O=C(OCC1CO1)C#N,65.11
C#CCCNC(=N)C#N,79.57
C(CNC(=N)C#N)C#N,74.23
C#CCCCC(=O)C#C,82.56
C#CCCCC(=O)C#N,77.07
C#CC(=O)CCCC#N,77.37
C(CC#N)CC(=O)C#N,71.87
C#CCNCC(=O)C#C,79.65
C#CCNCC(=O)C#N,71.89
C#CC(=O)CNCC#N,74.37
C(C#N)NCC(=O)C#N,68.86
C#CCOCC(=O)C#C,76.56
C#CCOCC(=O)C#N,71.29
C#CC(=O)COCC#N,71.34
C(C#N)OCC(=O)C#N,66.03
C#CCCNC(=O)C#C,80.43
C#CC(=O)NCCC#N,75.08
C#CCCOC(=O)C#C,76.03
C#CCCOC(=O)C#N,70.63
C#CC(=O)OCCC#N,70.93
C(COC(=O)C#N)C#N,65.55
O=C1C(CC11CC1)C#C,81.67
O=C1C(CC11CC1)C#N,76.36
O=C1C(CC11CN1)C#C,78.42
O=C1C(CC11CN1)C#N,73.2
O=C1C(CC11CO1)C#C,74.16
O=C1C(NC11CC1)C#C,78.09
O=C1C(NC11CC1)C#N,72.82
O=C1C(OC11CC1)C#C,74.72
O=C1C(OC11CC1)C#N,69.42
O=C1C(CC1C#C)C#C,80.31
O=C1C(CC1C#N)C#C,74.84
O=C1C(CC1C#N)C#N,69.26
O=C1C(NC1C#C)C#C,77.15
O=C1C(NC1C#N)C#C,71.4
O=C1C(NC1C#N)C#N,65.96
O=C1C(OC1C#C)C#C,73.81
O=C1C(OC1C#N)C#C,68.21
O=C1C(OC1C#N)C#N,62.62
C1CC12CC3(C2=O)CC3,83.38
O=C1C2(CC2)CC11CN1,80.05
O=C1C2(CC2)CC11CO1,75.7
C1CC12C(=O)C3(N2)CC3,79.59
C1CC12C(=O)C3(O2)CC3,76.17
O=C1C2(CN2)CC11CN1,76.89
O=C1C2(CN2)CC11CO1,72.55
O=C1C2(CO2)CC11CO1,68.18
O=C1C2C3C(C#C)C2C13,76.41
O=C1C2C3C(C#C)N2C13,73.8
O=C1C2C3C(C#N)C2C13,70.79
O=C1C2C3C(C#N)N2C13,68.04
N=C1C2CC3(C#N)C2N13,73.14
O=C1C2C3C1CC23C#C,77.38
O=C1C2C3C1CC23C#N,71.36
O=C1C2C3C1NC23C#C,73.69
O=C1C2C3C1NC23C#N,67.78
O=C1C2C3C1OC23C#C,69.93
O=C1C2C3C1OC23C#N,64.08
O=C1C2C3N1CC23C#C,73.86
O=C1C2C3N1CC23C#N,67.85
O=C1C2CC3(C#C)C2N13,73.5
O=C1C2CC3(C#N)C2N13,67.55
O=C1C2N3C1CC23C#C,74.13
O=C1C2N3C1CC23C#N,68.12
O=C1C2C3C(C#C)C1N23,70.7
O=C1C2C3C(C#N)C1N23,65.73
O=C1C2C3C(C2C#C)N13,71.57
O=C1C2C3C(C2C#N)N13,66.14
O=C1C2C3C1C(C#C)N23,70.93
O=C1C2C3C1C(C#N)N23,65.71
O=C1C2C3C2C1C3C#C,75.52
O=C1C2C3C2C1C3C#N,69.98
O=C1C2C3C2N1C3C#C,72.22
O=C1C2C3C2N1C3C#N,66.58
O=C1C2C3C(N13)C21CC1,72.36
O=C1C2C3C(N13)C21CN1,68.76
O=C1C2C3C(N13)C21CO1,65.13
O=C1C2C3C1C1(CC1)N23,72.78
O=C1C2C3C2C2(CC2)C13,76.34
O=C1C2C3C2C2(CC2)N13,72.57
O=C1C2C3C2C2(CN2)C13,72.86
O=C1C2C3C2C2(CO2)C13,69.05
O=C1C2C3N2C1C31CC1,73.09
O=C1C2C3N2C1C31CN1,69.72
O=C1C2C3N2C1C31CO1,65.97
N=C1C2OC3C4C(C23)N14,68.26
O=C1C2C3C2C2C3CC12,74.31
O=C1C2C3C2C2C3CN12,70.54
O=C1C2C3C2C2C3OC12,66.79
O=C1C2C3C2N2C3CC12,70.61
O=C1C2C3C2N2CC1C32,70.95
O=C1C2C3C4C(CC14)N23,71.06
O=C1C2C3C4C(CN14)N23,67.56
O=C1C2C3C4CC1C4N23,70.55
O=C1C2C3C4NC1C4N23,67.03
O=C1C2C3C4OC1C4N23,63.31
O=C1C2CC3C4C(C23)N14,70.43
O=C1C2OC3C4C(C23)N14,63.08
O=C1N2C3C2C2C3CN12,66.51
O=C1C2C3C2C2CC3C12,74.21
O=C1C2C3C2C2OC3C12,66.22
O=C1C2C3C2N2CC3C12,70.58
O=C1C2C3C4CC(C14)N23,70.71
O=C1C2C3C4C1CC2N34,69.38
O=C1C2C3C4C2CC1N34,69.81
O=C1C2C3C4C3C1CC24,73.21
O=C1C2C3C4C3C1OC24,65.71
O=C1C2C3C4C3N2CC14,69.59
O=C1C2C3CC1C1C3N21,69.56
O=C1C2C3NC1C1C3N21,66.2
O=C1C2C3OC1C1C3N21,62.34
O=C1C2C3C4C1C2CN34,70.84
