smiles,f1-CAM
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C12C([H])([H])C2([H])[H],0.0216
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C12OC2([H])[H],0.0008
[H]C([H])([H])C1([H])C([H])([H])OC12C([H])([H])C2([H])[H],0.0006
[H]C([H])([H])C1([H])OC([H])([H])C12C([H])([H])C2([H])[H],0.0011
[H]N1C([H])([H])C12C([H])([H])OC2([H])C([H])([H])[H],0.0042
[H]C([H])([H])C1([H])OC([H])([H])C12OC2([H])[H],0.001
[H]OC1([H])C([H])([H])C([H])([H])C12C([H])([H])C2([H])[H],0.0118
[H]OC1([H])C([H])([H])C([H])([H])C12N([H])C2([H])[H],0.0137
[H]OC1([H])C([H])([H])C([H])([H])C12OC2([H])[H],0.0053
[H]OC1([H])C([H])([H])OC12C([H])([H])C2([H])[H],0.0125
[H]C1=C([H])C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],0.2137
[H]C1=NC([H])([H])C2(O1)C([H])([H])C2([H])[H],0.0068
[H]C1=C([H])C([H])([H])C2(OC2([H])[H])C1([H])[H],0.2609
[H]C1=C([H])C2(C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],0.3221
[H]C1=NC2(C([H])([H])O1)C([H])([H])C2([H])[H],0.1903
[H]C1=C([H])C2(OC1([H])[H])C([H])([H])C2([H])[H],0.1937
[H]C1=C([H])C2(N([H])C2([H])[H])C([H])([H])C1([H])[H],0.2307
[H]C1=C([H])C2(OC2([H])[H])C([H])([H])C1([H])[H],0.3312
[H]C1([H])C([H])([H])C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],0.0238
[H]C1([H])OC2(C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],0.0029
[H]C1([H])OC([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],0.0238
[H]C1([H])OC([H])([H])C2(O1)C([H])([H])C2([H])[H],0.0068
[H]N1C([H])([H])C12C([H])([H])OC([H])([H])C2([H])[H],0.0084
[H]C1([H])OC12C([H])([H])C([H])([H])C([H])([H])C2([H])[H],0.0012
[H]C1([H])OC([H])([H])C2(OC2([H])[H])C1([H])[H],0.0217
[H]C([H])([H])C1(C2([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],0.0018
[H]C([H])([H])C1(C2([H])OC2([H])[H])C([H])([H])C1([H])[H],0.0241
[H]C([H])([H])C1(N2C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],0.0039
[H]N1C([H])([H])C1([H])C1(C([H])([H])[H])N([H])C1([H])[H],0.0108
[H]N1C([H])([H])C1(C([H])([H])[H])C1([H])OC1([H])[H],0.0114
[H]C([H])([H])C1(C2([H])C([H])([H])C2([H])[H])OC1([H])[H],0.0037
[H]N1C([H])([H])C1([H])C1(C([H])([H])[H])OC1([H])[H],0.0118
[H]C([H])([H])C1(C2([H])OC2([H])[H])OC1([H])[H],0.0035
[H]OC1(C2([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],0.003
[H]OC1(C2([H])N([H])C2([H])[H])C([H])([H])C1([H])[H],0.0053
[H]OC1(C2([H])OC2([H])[H])C([H])([H])C1([H])[H],0.0035
[H]C1=C([H])C2([H])C([H])=C([H])C1([H])C2([H])[H],0
[H]C1=C([H])C2([H])OC1([H])C([H])=C2[H],0
[H]C1=C([H])C2([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],0.124
[H]C1=C([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.0146
[H]C1=C([H])C2([H])C([H])([H])OC1([H])C2([H])[H],0.0107
[H]C1=C([H])C2([H])OC1([H])OC2([H])[H],0.0463
[H]C1([H])OC2([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],0.0062
[H]C1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],0
[H]C1([H])C([H])([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.009
[H]C1([H])OC2([H])OC1([H])C([H])([H])C2([H])[H],0.0119
[H]C1([H])OC2([H])OC([H])([H])C1([H])C2([H])[H],0.0177
[H]C1([H])OC2([H])C([H])([H])OC1([H])C2([H])[H],0.0005
[H]C([H])([H])C1([H])C(=O)C2([H])C([H])([H])C12[H],0.0002
[H]C([H])([H])C1([H])C(=O)N2C([H])([H])C21[H],0.001
[H]N1C2([H])C(=O)C([H])(C([H])([H])[H])C12[H],0.0003
[H]C([H])([H])C1([H])C(=O)C2([H])OC21[H],0.0001
[H]C([H])([H])C1([H])C(=O)C2([H])N1C2([H])[H],0.0019
[H]C([H])([H])N1C(=O)C2([H])C([H])([H])C12[H],0.0067
[H]OC1([H])C(=O)C2([H])C([H])([H])C12[H],0.0005
[H]N=C1N2C([H])([H])C2([H])C1([H])O[H],0.0017
[H]OC1([H])C(=O)N2C([H])([H])C21[H],0.0008
[H]OC1([H])C(=O)C2([H])N([H])C12[H],0.0006
[H]OC1([H])C(=O)C2([H])OC12[H],0.0002
[H]OC1([H])C([H])(C([H])([H])[H])N2C([H])([H])C21[H],0.0075
[H]C([H])([H])C1([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C12[H],0.0017
[H]OC1([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C12[H],0.0015
[H]OC1([H])C2([H])N([H])C2([H])C1([H])C([H])([H])[H],0.0041
[H]C([H])([H])C1([H])C2([H])OC2([H])C1([H])C([H])([H])[H],0.0005
[H]OC1([H])C2([H])OC2([H])C1([H])C([H])([H])[H],0.0026
[H]OC1([H])C([H])(O[H])C2([H])C([H])([H])C12[H],0.0096
[H]OC1([H])C([H])(O[H])C2([H])N([H])C12[H],0.0018
[H]OC1([H])C([H])(O[H])C2([H])OC12[H],0.0012
[H]C([H])([H])C12C([H])([H])C1([H])C1([H])C([H])([H])C12[H],0.0033
[H]C([H])([H])C12N3C([H])([H])C3([H])C1([H])C2([H])[H],0.0061
[H]N1C2([H])C1([H])C1(C([H])([H])[H])C([H])([H])C21[H],0.0018
[H]C([H])([H])C12C([H])([H])C1([H])C1([H])OC12[H],0.0011
[H]C([H])([H])C12C([H])([H])C1([H])N1C([H])([H])C12[H],0.0096
[H]C([H])([H])C12N(C1([H])[H])C1([H])C([H])([H])C12[H],0.0086
[H]N1C2([H])C3([H])C([H])([H])C3([H])C12C([H])([H])[H],0.0057
[H]N1C2([H])C1([H])C1(C([H])([H])[H])N([H])C21[H],0.006
[H]N1C2([H])C3([H])OC3([H])C12C([H])([H])[H],0.0074
[H]C([H])([H])C12OC1([H])C1([H])C([H])([H])C12[H],0.0008
[H]N1C2([H])C3([H])OC3(C([H])([H])[H])C12[H],0.003
[H]C([H])([H])C12OC1([H])C1([H])OC12[H],0.0159
[H]OC12C([H])([H])C1([H])C1([H])C([H])([H])C12[H],0.017
[H]OC12C([H])([H])C1([H])C1([H])N([H])C12[H],0.0022
[H]OC12C([H])([H])C1([H])C1([H])OC12[H],0.0028
[H]OC12C([H])([H])C1([H])N1C([H])([H])C12[H],0.0197
[H]C1([H])C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0.0079
[H]C1([H])OC1([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0.0121
[H]C1([H])N(C([H])([H])C2([H])C([H])([H])C2([H])[H])C1([H])[H],0.0487
[H]N1C([H])([H])C1([H])C([H])([H])N1C([H])([H])C1([H])[H],0.0077
[H]C1([H])OC1([H])C([H])([H])C1([H])OC1([H])[H],0.0026
[H]C1([H])OC1([H])C([H])([H])N1C([H])([H])C1([H])[H],0.0325
[H]C1([H])C([H])([H])C1([H])OC1([H])C([H])([H])C1([H])[H],0.0162
[H]C1([H])C2([H])C([H])([H])C3(C([H])([H])C3([H])[H])C12[H],0.0227
[H]N1C2([H])C([H])([H])C3(C([H])([H])C3([H])[H])C12[H],0.0036
[H]C1([H])C([H])([H])C12C([H])([H])C1([H])OC12[H],0.0152
[H]C1([H])N2C([H])([H])C3(C([H])([H])C3([H])[H])C21[H],0.0194
[H]C1([H])C2([H])OC3(C([H])([H])C3([H])[H])C12[H],0.002
[H]N1C2([H])C([H])([H])C3(N([H])C3([H])[H])C12[H],0.0037
[H]N1C([H])([H])C12C([H])([H])C1([H])OC12[H],0.0106
[H]N1C([H])([H])C12C([H])([H])N1C([H])([H])C12[H],0.014
[H]C1([H])OC12C([H])([H])C1([H])C([H])([H])C12[H],0.0003
[H]N1C2([H])C([H])([H])C3(OC3([H])[H])C12[H],0.0037
[H]C1([H])OC12C([H])([H])C1([H])OC12[H],0.0096
[H]C1([H])OC12C([H])([H])N1C([H])([H])C12[H],0.0195
[H]C1=C([H])C([H])=C([H])C([H])([H])C([H])=C1[H],0.0949
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C1[H],0.22
[H]C1=C([H])C([H])([H])OC([H])([H])C([H])=C1[H],0.1844
[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C([H])C1([H])[H],0.0194
[H]C1=NC([H])([H])C([H])=C([H])C([H])([H])O1,0.0048
[H]C1=C([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],0.1554
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.2516
[H]C1=NC([H])([H])C([H])([H])C([H])([H])C([H])([H])O1,0.0024
[H]C1=NC([H])([H])C([H])([H])OC([H])([H])O1,0.0028
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])OC1([H])[H],0.0126
[H]C1=C([H])C([H])([H])OC([H])([H])OC1([H])[H],0.0011
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.0062
[H]C1([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.0208
[H]C1([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O1,0.0409
[H]C1([H])OC([H])([H])C([H])([H])C([H])([H])OC1([H])[H],0.002
[H]N=C1N([H])C2([H])C([H])([H])OC12[H],0.0206
[H]N=C1OC2([H])C([H])([H])C([H])([H])C12[H],0.0097
[H]N=C1OC2([H])C([H])([H])N([H])C12[H],0.0007
[H]N=C1OC2([H])C([H])([H])OC12[H],0.0078
[H]C1([H])C(=O)C2([H])C([H])([H])C([H])([H])C12[H],0.0002
[H]C1([H])C(=O)N2C([H])([H])C([H])([H])C21[H],0.0034
[H]C1([H])OC2([H])C(=O)C([H])([H])C12[H],0.0002
[H]C1([H])OC2([H])C([H])([H])C(=O)C12[H],0.0001
[H]C1([H])C(=O)C2([H])N1C([H])([H])C2([H])[H],0.0003
[H]N1C(=O)C2([H])C([H])([H])C([H])([H])C12[H],0.0027
[H]N1C(=O)C2([H])OC([H])([H])C12[H],0.0025
[H]C1([H])C([H])([H])C2([H])C(=O)OC12[H],0.0018
[H]N1C([H])([H])C2([H])OC(=O)C12[H],0.001
[H]C1([H])OC2([H])C(=O)OC12[H],0.0018
[H]C([H])([H])C1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C12[H],0.0034
[H]C([H])([H])C1([H])C([H])([H])C2([H])C([H])([H])OC12[H],0.0007
[H]C([H])([H])C1([H])C([H])([H])C2([H])OC([H])([H])C21[H],0.0007
[H]C([H])([H])C1([H])OC2([H])C([H])([H])C([H])([H])C12[H],0.0021
[H]C([H])([H])C1([H])OC2([H])C([H])([H])OC12[H],0.0025
[H]C([H])([H])N1C([H])([H])C2([H])OC([H])([H])C12[H],0.0107
[H]OC1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C12[H],0.0023
[H]OC1([H])C([H])([H])C2([H])C([H])([H])OC12[H],0.0014
[H]OC1([H])C([H])([H])C2([H])OC([H])([H])C12[H],0.0015
[H]OC1([H])C([H])([H])N2C([H])([H])C([H])([H])C21[H],0.0044
[H]C#CC1([H])C([H])([H])C2([H])C([H])([H])C12[H],0
[H]C#CC1([H])N2C([H])([H])C2([H])C1([H])[H],0.005
[H]C#CC1([H])C([H])([H])C2([H])N([H])C12[H],0
[H]C#CC1([H])C([H])([H])C2([H])OC12[H],0
[H]C#CC1([H])OC2([H])C([H])([H])C12[H],0.0072
[H]C1([H])C([H])(C#N)C2([H])C([H])([H])C12[H],0.0005
[H]C1([H])N2C([H])(C#N)C([H])([H])C21[H],0.0139
[H]N1C2([H])C([H])([H])C([H])(C#N)C12[H],0.0033
[H]C1([H])C([H])(C#N)C2([H])OC12[H],0.0019
[H]C1([H])N2C([H])([H])C2([H])C1([H])C#N,0.0008
[H]N1C([H])(C#N)C2([H])C([H])([H])C12[H],0.0018
[H]C1(C#N)OC2([H])C([H])([H])C12[H],0.0122
[H]C(=O)C1([H])C([H])([H])C2([H])C([H])([H])C12[H],0.0006
[H]C(=O)C1([H])N2C([H])([H])C2([H])C1([H])[H],0.0003
[H]C(=O)C1([H])C([H])([H])C2([H])N([H])C12[H],0.0004
[H]C(=O)C1([H])C([H])([H])C2([H])OC21[H],0.0002
[H]C(=O)C1([H])C([H])([H])N2C([H])([H])C21[H],0.0007
[H]C(=O)C1([H])OC2([H])C([H])([H])C12[H],0.0003
[H]C(=O)N1C([H])([H])C2([H])C([H])([H])C12[H],0.0046
[H]C([H])([H])N=C1OC2([H])C([H])([H])C12[H],0.0055
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C2([H])C([H])([H])C12[H],0.0027
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C2([H])OC21[H],0.0113
[H]C([H])([H])C([H])([H])C1([H])OC2([H])C([H])([H])C12[H],0.0032
[H]C([H])([H])OC1([H])C([H])([H])C2([H])C([H])([H])C12[H],0.0204
[H]N1C2([H])C([H])([H])C([H])(OC([H])([H])[H])C12[H],0.0055
[H]C([H])([H])OC1([H])C([H])([H])C2([H])OC12[H],0.0249
[H]C([H])([H])OC1([H])C([H])([H])N2C([H])([H])C21[H],0.0116
[H]OC([H])([H])C1([H])C([H])([H])C2([H])C([H])([H])C12[H],0.0001
[H]OC([H])([H])C1([H])N2C([H])([H])C2([H])C1([H])[H],0.0067
[H]OC([H])([H])C1([H])C([H])([H])C2([H])N([H])C21[H],0.0069
[H]OC([H])([H])C1([H])C([H])([H])C2([H])OC21[H],0.0002
[H]OC([H])([H])C1([H])C([H])([H])N2C([H])([H])C21[H],0.0027
[H]OC([H])([H])C1([H])OC2([H])C([H])([H])C12[H],0.0041
[H]C1=C([H])C([H])([H])C2([H])C([H])([H])C2([H])C1([H])[H],0.1806
[H]C1=NC([H])([H])C2([H])C([H])([H])C2([H])O1,0.0052
[H]C1=C([H])C([H])([H])C2([H])OC2([H])C1([H])[H],0.2232
[H]C1=C([H])C2([H])C([H])([H])C2([H])C([H])([H])C1([H])[H],0.1684
[H]C1=NC2([H])C([H])([H])C2([H])C([H])([H])O1,0.0147
[H]C1=C([H])C2([H])C([H])([H])C2([H])OC1([H])[H],0.0497
[H]C1=C([H])C2([H])N([H])C2([H])C([H])([H])C1([H])[H],0.0342
[H]C1=C([H])C2([H])OC2([H])C([H])([H])C1([H])[H],0.1573
[H]C1([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C2([H])C1([H])[H],0.002
[H]C1([H])OC2([H])C([H])([H])C2([H])C([H])([H])C1([H])[H],0.0005
[H]C1([H])OC([H])([H])C2([H])C([H])([H])C2([H])C1([H])[H],0.0198
[H]C1([H])OC([H])([H])C2([H])N(C1([H])[H])C2([H])[H],0.0101
[H]C1([H])OC([H])([H])C2([H])C([H])([H])C2([H])O1,0.0004
[H]C1([H])OC2([H])C([H])([H])C2([H])OC1([H])[H],0.0048
[H]N1C2([H])C([H])([H])OC([H])([H])C([H])([H])C12[H],0.0052
[H]C1([H])OC([H])([H])C2([H])OC2([H])C1([H])[H],0.0043
[H]C1([H])C([H])([H])C([H])([H])C2([H])OC2([H])C1([H])[H],0.0227
[H]C1=C2C([H])([H])C([H])([H])C2([H])C([H])([H])C1([H])[H],0.2121
[H]C1=C2C([H])([H])C([H])([H])C2([H])OC1([H])[H],0.1475
[H]C1([H])N=C2OC([H])([H])C2([H])C1([H])[H],0.0068
[H]C1=C2C([H])([H])OC2([H])C([H])([H])C1([H])[H],0.1331
[H]C1=C([H])C2([H])C([H])([H])C([H])([H])C2([H])C1([H])[H],0.2233
[H]C1=NC2([H])C([H])([H])C([H])([H])C2([H])O1,0.0112
[H]C1=C([H])C2([H])OC([H])([H])C2([H])C1([H])[H],0.0102
[H]C1=C([H])C2([H])C([H])([H])OC2([H])C1([H])[H],0.1898
[H]C1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C2([H])C1([H])[H],0.0077
[H]C1([H])OC([H])([H])C2([H])C([H])([H])C([H])([H])C12[H],0.0326
[H]C1([H])OC2([H])C([H])([H])C([H])([H])C2([H])C1([H])[H],0.0129
[H]C1([H])OC2([H])C([H])([H])C([H])([H])C2([H])O1,0.0004
[H]C1([H])OC2([H])C([H])([H])C([H])([H])C([H])([H])C12[H],0.0008
[H]C1([H])OC2([H])C([H])([H])OC2([H])C1([H])[H],0.0005
[H]C1([H])OC([H])([H])C2([H])C([H])([H])OC12[H],0.0004
[H]C1=C([H])C2([H])C([H])(C([H])([H])[H])C2([H])C1([H])[H],0.1327
[H]C1=NC2([H])C([H])(O1)C2([H])C([H])([H])[H],0.009
[H]OC1([H])C2([H])C([H])=C([H])C([H])([H])C12[H],0.0882
[H]OC1([H])C2([H])N=C([H])OC21[H],0.0134
[H]C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C12[H],0.0021
[H]C([H])([H])C1([H])C2([H])OC([H])([H])C([H])([H])C21[H],0.006
[H]C([H])([H])C1([H])C2([H])C([H])([H])OC([H])([H])C12[H],0.0192
[H]C1([H])OC2([H])C([H])(O1)C2([H])C([H])([H])[H],0.007
[H]C([H])([H])N1C2([H])C([H])([H])OC([H])([H])C12[H],0.0288
[H]OC1([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C12[H],0.0034
[H]OC1([H])C2([H])OC([H])([H])C([H])([H])C12[H],0.0056
[H]OC1([H])C2([H])C([H])([H])OC([H])([H])C12[H],0.0054
[H]OC1([H])C2([H])OC([H])([H])OC12[H],0.0052
[H]C#CC1([H])C2([H])C([H])([H])C([H])([H])C12[H],0.0001
[H]C#CC1([H])N2C([H])([H])C([H])([H])C21[H],0.0094
[H]C#CC1([H])C2([H])OC([H])([H])C12[H],0.0002
[H]C1([H])C([H])([H])C2([H])C([H])(C#N)C12[H],0.0001
[H]C1([H])N2C([H])(C#N)C2([H])C1([H])[H],0.0225
[H]C1([H])OC2([H])C([H])(C#N)C12[H],0.0012
[H]C(=O)C1([H])C2([H])C([H])([H])C([H])([H])C12[H],0
[H]C(=O)C1([H])N2C([H])([H])C([H])([H])C21[H],0.0002
[H]C(=O)C1([H])C2([H])OC([H])([H])C21[H],0.0002
[H]C(=O)N1C2([H])C([H])([H])C([H])([H])C12[H],0.0083
[H]C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C12[H],0.0044
[H]C([H])([H])C([H])([H])C1([H])C2([H])OC([H])([H])C21[H],0.0029
[H]C([H])([H])OC1([H])C2([H])C([H])([H])C([H])([H])C12[H],0.0073
[H]C([H])([H])OC1([H])C2([H])OC([H])([H])C12[H],0.0035
[H]OC([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C12[H],0.0083
[H]OC([H])([H])C1([H])N2C([H])([H])C([H])([H])C21[H],0.0056
[H]OC([H])([H])C1([H])C2([H])OC([H])([H])C21[H],0.0047
[H]C([H])([H])C1([H])C2([H])C(=O)C([H])([H])C21[H],0.0003
[H]C([H])([H])C1([H])N2C(=O)C([H])([H])C21[H],0.002
[H]C1([H])C(=O)C2([H])N1C2([H])C([H])([H])[H],0.0025
[H]N1C(=O)C2([H])C1([H])C2([H])C([H])([H])[H],0.003
[H]N=C1OC2([H])C1([H])C2([H])C([H])([H])[H],0.0073
[H]C([H])([H])C1([H])C2([H])OC(=O)C21[H],0.0013
[H]C([H])([H])N1C2([H])C(=O)C([H])([H])C12[H],0.0007
[H]OC1([H])C2([H])C(=O)C([H])([H])C12[H],0.0005
[H]OC1([H])C2([H])C(=O)N([H])C12[H],0.0032
[H]N=C1OC2([H])C([H])(O[H])C12[H],0.019
[H]OC1([H])C2([H])OC(=O)C12[H],0.004
[H]OC1([H])C([H])([H])N2C([H])(C([H])([H])[H])C21[H],0.0228
[H]C([H])([H])C1([H])C([H])([H])C2([H])C([H])(C([H])([H])[H])C12[H],0.0065
[H]OC1([H])C([H])([H])C2([H])C([H])(C([H])([H])[H])C12[H],0.0041
[H]C([H])([H])C1([H])OC2([H])C([H])(C([H])([H])[H])C12[H],0.0052
[H]OC1([H])C2([H])C([H])([H])C([H])(C([H])([H])[H])C12[H],0.0067
[H]OC1([H])C2([H])OC([H])(C([H])([H])[H])C12[H],0.004
[H]OC1([H])C([H])([H])C2([H])N(C([H])([H])[H])C12[H],0.0093
[H]OC1([H])C([H])([H])C2([H])C([H])(O[H])C12[H],0.0057
[H]C1=C([H])C2([H])C([H])([H])C2([H])C1=O,0.0008
[H]C1=C([H])C2([H])N(C1=O)C2([H])[H],0.0008
[H]C1=C([H])C2([H])N([H])C2([H])C1=O,0.0004
[H]C1=C([H])C2([H])OC2([H])C1=O,0.0002
[H]N=C1OC([H])([H])C2([H])C([H])([H])C12[H],0.0096
[H]N=C1OC([H])([H])C2([H])N1C2([H])[H],0.0072
[H]N=C1OC([H])([H])C2([H])N([H])C12[H],0.012
[H]N=C1OC([H])([H])C2([H])OC12[H],0.0052
[H]C1([H])C(=O)C2([H])C([H])([H])C2([H])C1([H])[H],0
[H]C1([H])C(=O)N2C([H])([H])C2([H])C1([H])[H],0.0006
[H]N1C2([H])C(=O)C([H])([H])C([H])([H])C12[H],0.0006
[H]C1([H])C(=O)C2([H])OC2([H])C1([H])[H],0.0001
[H]C1([H])C(=O)C2([H])N(C1([H])[H])C2([H])[H],0.0003
[H]C1([H])OC2([H])C([H])([H])C2([H])C1=O,0.0004
[H]N1C(=O)C2([H])C([H])([H])C2([H])C1([H])[H],0.0012
[H]N1C(=O)N2C([H])([H])C2([H])C1([H])[H],0.0005
[H]N1C(=O)C2([H])N([H])C2([H])C1([H])[H],0.0012
[H]N1C(=O)C2([H])OC2([H])C1([H])[H],0.0004
[H]C1([H])OC(=O)C2([H])C([H])([H])C12[H],0.001
[H]C1([H])OC(=O)N2C([H])([H])C21[H],0.0004
[H]N1C2([H])C(=O)OC([H])([H])C12[H],0.0022
[H]C1([H])OC(=O)C2([H])OC12[H],0.0006
[H]C1=C(C([H])([H])[H])C2([H])C([H])([H])C2([H])C1([H])[H],0.1839
[H]C1=C(C([H])([H])[H])C2([H])N([H])C2([H])C1([H])[H],0.0361
[H]C1=C(C([H])([H])[H])C2([H])OC2([H])C1([H])[H],0.1091
[H]N([H])C1=NC([H])([H])C2([H])OC12[H],0.0032
[H]C1=C([H])C2([H])C([H])([H])C2([H])C1([H])C([H])([H])[H],0.1361
[H]C1=C([H])C([H])(C([H])([H])[H])C2([H])N([H])C12[H],0.0207
[H]C1=C([H])C([H])(C([H])([H])[H])C2([H])OC12[H],0.0275
[H]OC1([H])C([H])=C([H])C2([H])C([H])([H])C12[H],0.083
[H]OC1([H])C([H])=C([H])C2([H])N([H])C12[H],0.0197
[H]OC1([H])C([H])=C([H])C2([H])OC12[H],0.0025
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C12[H],0.0083
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])OC21[H],0.0029
[H]C([H])([H])C1([H])C([H])([H])OC2([H])C([H])([H])C21[H],0.0045
[H]C([H])([H])C1([H])OC([H])([H])C2([H])C([H])([H])C12[H],0.0442
[H]N1C2([H])C([H])([H])OC([H])(C([H])([H])[H])C12[H],0.0047
[H]C([H])([H])C1([H])OC([H])([H])C2([H])OC12[H],0.0412
[H]OC1([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C12[H],0.0067
[H]OC1([H])C([H])([H])C([H])([H])C2([H])N([H])C12[H],0.0019
[H]OC1([H])C([H])([H])C([H])([H])C2([H])OC12[H],0.0038
[H]OC1([H])C([H])([H])C([H])([H])N2C([H])([H])C21[H],0.0035
[H]OC1([H])C([H])([H])OC2([H])C([H])([H])C12[H],0.0058
[H]C1=C([H])C2([H])C(=O)C1([H])C2([H])[H],0.0007
[H]C1=C([H])C2([H])C(=O)C1([H])N2[H],0.0006
[H]C1=C([H])C2([H])OC1([H])C2=O,0.0008
[H]C1([H])C([H])([H])C2([H])C(=O)C1([H])C2([H])[H],0.0001
[H]C1([H])OC2([H])C(=O)C1([H])C2([H])[H],0.0003
[H]N1C2([H])C(=O)C1([H])C([H])([H])C2([H])[H],0.0001
[H]C12OC([H])(C1=O)C([H])([H])C2([H])[H],0
[H]C1=C([H])C2([H])C([H])([H])C1([H])C2([H])C([H])([H])[H],0.0674
[H]C1=C([H])C2([H])OC1([H])C2([H])C([H])([H])[H],0.0114
[H]C1=C([H])C2([H])N(C([H])([H])[H])C1([H])C2([H])[H],0
[H]OC1([H])C2([H])C([H])=C([H])C1([H])C2([H])[H],0.0661
[H]OC1([H])C2([H])C([H])=C([H])C1([H])N2[H],0.0294
[H]OC1([H])C2([H])OC1([H])C([H])=C2[H],0.0083
[H]C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],0.0172
[H]C([H])([H])C1([H])C2([H])OC([H])([H])C1([H])C2([H])[H],0.0023
[H]C([H])([H])C1([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.0046
[H]OC1([H])C2([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],0.0069
[H]OC1([H])C2([H])OC([H])([H])C1([H])C2([H])[H],0.0017
[H]OC1([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.0037
[H]C([H])([H])C12C3([H])C([H])([H])C1([H])C2([H])C3([H])[H],0.0028
[H]C([H])([H])C12N3C([H])([H])C1([H])C([H])([H])C32[H],0.0078
[H]C([H])([H])C12C3([H])OC1([H])C2([H])C3([H])[H],0.0009
[H]C([H])([H])C12N3C([H])([H])C1([H])C2([H])C3([H])[H],0.0073
[H]OC12C3([H])C([H])([H])C1([H])C2([H])C3([H])[H],0.002
[H]OC12C3([H])OC1([H])C2([H])C3([H])[H],0.0005
[H]C([H])([H])C12N3C4([H])C3([H])C1([H])C42[H],0.0021
[H]C([H])([H])C12C3([H])N4C3([H])C1([H])C42[H],0.0031
[H]C([H])([H])C12C3([H])C4([H])C3([H])C1([H])C42[H],0.0039
[H]C([H])([H])C12N3C4([H])C([H])(C31[H])C42[H],0.0042
[H]OC12C3([H])N4C3([H])C1([H])C42[H],0.0023
[H]OC12C3([H])C4([H])C3([H])C1([H])C42[H],0.0015
[H]C1([H])C2([H])C([H])([H])C3([H])C1([H])C([H])([H])C23[H],0.0045
[H]C1([H])C2([H])OC3([H])C1([H])C([H])([H])C23[H],0.0002
[H]N1C2([H])C([H])([H])C3([H])OC2([H])C13[H],0.0104
[H]C1([H])C2([H])OC3([H])C1([H])OC23[H],0.0018
[H]C1([H])C2([H])OC3([H])C([H])([H])C2([H])C13[H],0.0024
[H]C1([H])C2([H])C([H])([H])C3([H])C1([H])C3([H])C2([H])[H],0.0011
[H]C1([H])N2C3([H])C([H])([H])C1([H])C([H])([H])C23[H],0.0059
[H]C1([H])C2([H])OC3([H])C1([H])C3([H])C2([H])[H],0.0024
[H]C12OC3([H])C([H])(O1)C3([H])C2([H])[H],0.0023
[H]C#CC1([H])C2([H])C([H])([H])C1([H])C2([H])[H],0
[H]C#CC1([H])C2([H])OC1([H])C2([H])[H],0
[H]C#CC1([H])N2C([H])([H])C1([H])C2([H])[H],0.0175
